m,word,D,L,n_optimal,min_tax_a1,note
9,111121211,7,7,1,SKIPPED(m>8),
9,111121212,6,6,1,SKIPPED(m>8),
9,111121221,6,6,1,SKIPPED(m>8),
9,111121222,5,5,1,SKIPPED(m>8),
9,111122111,7,7,1,SKIPPED(m>8),
9,111122112,6,6,1,SKIPPED(m>8),
9,111122121,6,6,1,SKIPPED(m>8),
9,111122122,5,5,1,SKIPPED(m>8),
9,111122211,6,6,1,SKIPPED(m>8),
9,111122212,5,5,1,SKIPPED(m>8),
9,111122221,5,5,1,SKIPPED(m>8),
9,111122222,4,4,1,SKIPPED(m>8),
9,111211111,8,8,1,SKIPPED(m>8),
9,111211112,7,7,1,SKIPPED(m>8),
9,111211121,7,7,1,SKIPPED(m>8),
9,111211122,6,6,1,SKIPPED(m>8),
9,111211211,7,7,1,SKIPPED(m>8),
9,111211212,6,6,1,SKIPPED(m>8),
9,111211221,6,6,1,SKIPPED(m>8),
9,111211222,5,5,1,SKIPPED(m>8),
9,111212111,7,7,1,SKIPPED(m>8),
9,111212112,6,6,1,SKIPPED(m>8),
9,111212121,6,6,1,SKIPPED(m>8),
9,111212122,5,5,1,SKIPPED(m>8),
9,111212211,6,6,1,SKIPPED(m>8),
9,111212212,5,5,1,SKIPPED(m>8),
9,111212221,5,5,1,SKIPPED(m>8),
9,111212222,4,4,1,SKIPPED(m>8),
9,111221111,7,7,1,SKIPPED(m>8),
9,111221112,6,6,1,SKIPPED(m>8),
9,111221121,6,6,1,SKIPPED(m>8),
9,111221122,5,5,1,SKIPPED(m>8),
9,111221211,6,6,1,SKIPPED(m>8),
9,111221212,5,5,1,SKIPPED(m>8),
9,111221221,5,5,1,SKIPPED(m>8),
9,111221222,4,4,1,SKIPPED(m>8),
9,111222111,6,6,1,SKIPPED(m>8),
9,111222112,5,5,1,SKIPPED(m>8),
9,111222121,5,5,1,SKIPPED(m>8),
9,111222122,4,4,1,SKIPPED(m>8),
9,111222211,5,5,1,SKIPPED(m>8),
9,111222212,4,4,1,SKIPPED(m>8),
9,111222221,4,4,1,SKIPPED(m>8),
9,111222222,3,3,1,SKIPPED(m>8),
9,112111111,8,8,1,SKIPPED(m>8),
9,112111112,7,7,1,SKIPPED(m>8),
9,112111121,7,7,1,SKIPPED(m>8),
9,112111122,6,6,1,SKIPPED(m>8),
9,112111211,7,7,1,SKIPPED(m>8),
9,112111212,6,6,1,SKIPPED(m>8),
9,112111221,6,6,1,SKIPPED(m>8),
9,112111222,5,5,1,SKIPPED(m>8),
9,112112111,7,7,1,SKIPPED(m>8),
9,112112112,6,6,1,SKIPPED(m>8),
9,112112121,6,6,1,SKIPPED(m>8),
9,112112122,5,5,1,SKIPPED(m>8),
9,112112211,6,6,1,SKIPPED(m>8),
9,112112212,5,5,1,SKIPPED(m>8),
9,112112221,5,5,1,SKIPPED(m>8),
9,112112222,4,4,1,SKIPPED(m>8),
9,112121111,7,7,1,SKIPPED(m>8),
9,112121112,6,6,1,SKIPPED(m>8),
9,112121121,6,6,1,SKIPPED(m>8),
9,112121122,5,5,1,SKIPPED(m>8),
9,112121211,6,6,1,SKIPPED(m>8),
9,112121212,5,5,1,SKIPPED(m>8),
9,112121221,5,5,1,SKIPPED(m>8),
9,112121222,4,4,1,SKIPPED(m>8),
9,112122111,6,6,1,SKIPPED(m>8),
9,112122112,5,5,1,SKIPPED(m>8),
9,112122121,5,5,1,SKIPPED(m>8),
9,112122122,4,4,1,SKIPPED(m>8),
9,112122211,5,5,1,SKIPPED(m>8),
9,112122212,4,4,1,SKIPPED(m>8),
9,112122221,4,4,1,SKIPPED(m>8),
9,112122222,3,3,1,SKIPPED(m>8),
9,112211111,7,7,1,SKIPPED(m>8),
9,112211112,6,6,1,SKIPPED(m>8),
9,112211121,6,6,1,SKIPPED(m>8),
9,112211122,5,5,1,SKIPPED(m>8),
9,112211211,6,6,1,SKIPPED(m>8),
9,112211212,5,5,1,SKIPPED(m>8),
9,112211221,5,5,1,SKIPPED(m>8),
9,112211222,4,4,1,SKIPPED(m>8),
9,112212111,6,6,1,SKIPPED(m>8),
9,112212112,5,5,1,SKIPPED(m>8),
9,112212121,5,5,1,SKIPPED(m>8),
9,112212122,4,4,1,SKIPPED(m>8),
9,112212211,5,5,1,SKIPPED(m>8),
9,112212212,4,4,1,SKIPPED(m>8),
9,112212221,4,4,1,SKIPPED(m>8),
9,112212222,3,3,1,SKIPPED(m>8),
9,112221111,6,6,1,SKIPPED(m>8),
9,112221112,5,5,1,SKIPPED(m>8),
9,112221121,5,5,1,SKIPPED(m>8),
9,112221122,4,4,1,SKIPPED(m>8),
9,112221211,5,5,1,SKIPPED(m>8),
9,112221212,4,4,1,SKIPPED(m>8),
9,112221221,4,4,1,SKIPPED(m>8),
9,112221222,3,3,1,SKIPPED(m>8),
9,112222111,5,5,1,SKIPPED(m>8),
9,112222112,4,4,1,SKIPPED(m>8),
9,112222121,4,4,1,SKIPPED(m>8),
9,112222122,3,3,1,SKIPPED(m>8),
9,112222211,4,4,1,SKIPPED(m>8),
9,112222212,3,3,1,SKIPPED(m>8),
9,112222221,3,3,1,SKIPPED(m>8),
9,112222222,2,2,1,SKIPPED(m>8),
9,121111111,8,8,1,SKIPPED(m>8),
9,121111112,7,7,1,SKIPPED(m>8),
9,121111121,7,7,1,SKIPPED(m>8),
9,121111122,6,6,1,SKIPPED(m>8),
9,121111211,7,7,1,SKIPPED(m>8),
9,121111212,6,6,1,SKIPPED(m>8),
9,121111221,6,6,1,SKIPPED(m>8),
9,121111222,5,5,1,SKIPPED(m>8),
9,121112111,7,7,1,SKIPPED(m>8),
9,121112112,6,6,1,SKIPPED(m>8),
9,121112121,6,6,1,SKIPPED(m>8),
9,121112122,5,5,1,SKIPPED(m>8),
9,121112211,6,6,1,SKIPPED(m>8),
9,121112212,5,5,1,SKIPPED(m>8),
9,121112221,5,5,1,SKIPPED(m>8),
9,121112222,4,4,1,SKIPPED(m>8),
9,121121111,7,7,1,SKIPPED(m>8),
9,121121112,6,6,1,SKIPPED(m>8),
9,121121121,6,6,1,SKIPPED(m>8),
9,121121122,5,5,1,SKIPPED(m>8),
9,121121211,6,6,1,SKIPPED(m>8),
9,121121212,5,5,1,SKIPPED(m>8),
9,121121221,5,5,1,SKIPPED(m>8),
9,121121222,4,4,1,SKIPPED(m>8),
9,121122111,6,6,1,SKIPPED(m>8),
9,121122112,5,5,1,SKIPPED(m>8),
9,121122121,5,5,1,SKIPPED(m>8),
