source,start_n,k,a,c,d_before,d_after,C_before,at_ceiling
breach,43239419,8,1,2,1,2,1,True
breach,43239419,10,1,2,2,3,2,True
breach,38988539,5,1,2,0,1,0,True
breach,38988539,8,1,2,1,2,1,True
breach,38988539,10,1,2,2,3,2,True
breach,12266747,5,1,2,0,1,0,True
breach,12266747,6,1,2,1,2,1,True
breach,12266747,10,1,2,2,3,2,True
breach,12266747,11,1,2,3,4,3,True
breach,12266747,13,1,2,4,5,4,True
breach,42227963,5,1,2,0,1,0,True
breach,42227963,6,1,2,1,2,1,True
breach,42227963,10,1,2,2,3,2,True
breach,42227963,11,1,2,3,4,3,True
breach,38457179,3,1,2,0,1,0,True
breach,38457179,8,1,2,1,2,1,True
breach,38457179,10,1,2,2,3,2,True
breach,34206299,3,1,2,0,1,0,True
breach,34206299,8,1,2,1,2,1,True
breach,34206299,10,1,2,2,3,2,True
breach,7484507,3,1,2,0,1,0,True
breach,7484507,6,1,2,1,2,1,True
breach,7484507,10,1,2,2,3,2,True
breach,7484507,11,1,2,3,4,3,True
breach,7484507,13,1,2,4,5,4,True
breach,7484507,15,1,2,5,6,5,True
breach,37445723,3,1,2,0,1,0,True
breach,37445723,6,1,2,1,2,1,True
breach,37445723,10,1,2,2,3,2,True
breach,37445723,11,1,2,3,4,3,True
breach,37445723,17,1,2,4,5,4,True
breach,37445723,20,1,2,5,6,5,True
breach,37445723,23,1,2,6,7,6,True
breach,37445723,25,1,2,7,8,7,True
breach,37445723,37,1,2,8,9,8,True
breach,37445723,39,1,2,9,10,9,True
breach,35269019,3,1,2,0,1,0,True
breach,35269019,8,1,2,1,2,1,True
breach,35269019,10,1,2,2,3,2,True
breach,31018139,3,1,2,0,1,0,True
breach,31018139,8,1,2,1,2,1,True
breach,31018139,10,1,2,2,3,2,True
breach,4296347,3,1,2,0,1,0,True
breach,4296347,6,1,2,1,2,1,True
breach,4296347,10,1,2,2,3,2,True
breach,4296347,11,1,2,3,4,3,True
breach,4296347,13,1,2,4,5,4,True
breach,4296347,22,1,2,5,6,5,True
breach,4296347,23,1,2,6,7,6,True
breach,34257563,3,1,2,0,1,0,True
breach,34257563,6,1,2,1,2,1,True
breach,34257563,10,1,2,2,3,2,True
breach,34257563,11,1,2,3,4,3,True
breach,34257563,15,1,2,4,5,4,True
breach,34257563,30,1,2,5,6,5,True
breach,28892699,3,1,2,0,1,0,True
breach,28892699,5,1,2,1,2,1,True
breach,28892699,10,1,2,2,3,2,True
breach,2170907,3,1,2,0,1,0,True
breach,2170907,5,1,2,1,2,1,True
breach,2170907,10,1,2,2,3,2,True
breach,2170907,11,1,2,3,4,3,True
breach,2170907,13,1,2,4,5,4,True
breach,2170907,17,1,2,5,6,5,True
breach,2170907,18,1,2,6,7,6,True
breach,2170907,20,1,2,7,8,7,True
breach,32132123,3,1,2,0,1,0,True
breach,32132123,5,1,2,1,2,1,True
breach,32132123,10,1,2,2,3,2,True
breach,32132123,11,1,2,3,4,3,True
breach,32132123,17,1,2,4,5,4,True
breach,32132123,18,1,2,5,6,5,True
breach,32132123,27,1,2,6,7,6,True
breach,32132123,29,1,2,7,8,7,True
breach,32132123,30,1,2,8,9,8,True
breach,32132123,32,1,2,9,10,9,True
breach,30021839,1,1,2,0,1,0,True
breach,30021839,8,1,2,1,2,1,True
breach,30021839,10,1,2,2,3,2,True
breach,30021839,11,1,2,3,4,3,True
breach,3300047,1,1,2,0,1,0,True
breach,3300047,6,1,2,1,2,1,True
breach,3300047,10,1,2,2,3,2,True
breach,33261263,1,1,2,0,1,0,True
breach,33261263,6,1,2,1,2,1,True
breach,33261263,10,1,2,2,3,2,True
breach,33261263,13,1,2,3,4,3,True
breach,29490479,1,1,2,0,1,0,True
breach,29490479,8,1,2,1,2,1,True
breach,29490479,10,1,2,2,3,2,True
breach,29490479,11,1,2,3,4,3,True
breach,25239599,1,1,2,0,1,0,True
breach,25239599,8,1,2,1,2,1,True
breach,25239599,10,1,2,2,3,2,True
breach,25239599,11,1,2,3,4,3,True
breach,25239599,25,1,2,4,5,4,True
breach,70181423,1,1,2,0,1,0,True
breach,70181423,6,1,2,1,2,1,True
breach,70181423,10,1,2,2,3,2,True
breach,70181423,11,1,2,3,4,3,True
breach,28479023,1,1,2,0,1,0,True
breach,28479023,6,1,2,1,2,1,True
breach,28479023,10,1,2,2,3,2,True
breach,28479023,15,1,2,3,4,3,True
breach,26302319,1,1,2,0,1,0,True
breach,26302319,8,1,2,1,2,1,True
breach,26302319,10,1,2,2,3,2,True
breach,26302319,11,1,2,3,4,3,True
breach,22051439,1,1,2,0,1,0,True
breach,22051439,8,1,2,1,2,1,True
breach,22051439,10,1,2,2,3,2,True
breach,22051439,11,1,2,3,4,3,True
breach,66993263,1,1,2,0,1,0,True
breach,66993263,6,1,2,1,2,1,True
breach,66993263,10,1,2,2,3,2,True
breach,66993263,11,1,2,3,4,3,True
breach,25290863,1,1,2,0,1,0,True
breach,25290863,6,1,2,1,2,1,True
breach,25290863,10,1,2,2,3,2,True
breach,19925999,1,1,2,0,1,0,True
breach,19925999,5,1,2,1,2,1,True
breach,19925999,10,1,2,2,3,2,True
breach,19925999,11,1,2,3,4,3,True
breach,559871,1,1,2,0,1,0,True
breach,559871,3,1,2,1,2,1,True
breach,559871,5,1,2,2,3,2,True
breach,559871,6,1,2,3,4,3,True
breach,38534939,3,1,2,0,1,0,True
breach,38534939,5,1,2,1,2,1,True
breach,38534939,6,1,2,2,3,2,True
breach,38534939,8,1,2,3,4,3,True
breach,38534939,11,1,2,4,5,4,True
breach,38534939,15,1,2,5,6,5,True
breach,39126887,1,1,2,0,1,0,True
breach,39126887,5,1,2,1,2,1,True
breach,39126887,6,1,2,2,3,2,True
breach,39126887,8,1,2,3,4,3,True
breach,26084591,1,1,2,0,1,0,True
breach,26084591,5,1,2,1,2,1,True
