k,climb,supports,drops
420,70,175,245
421,71,175,246
422,70,176,246
423,71,176,247
424,72,176,248
425,71,177,248
426,72,177,249
427,71,178,249
428,72,178,250
429,71,179,250
430,72,179,251
431,73,179,252
432,72,180,252
433,73,180,253
434,72,181,253
435,73,181,254
436,74,181,255
437,73,182,255
438,74,182,256
439,73,183,256
440,74,183,257
441,73,184,257
442,74,184,258
443,75,184,259
444,74,185,259
445,75,185,260
446,74,186,260
447,75,186,261
448,76,186,262
449,75,187,262
450,76,187,263
451,75,188,263
452,76,188,264
453,75,189,264
454,76,189,265
455,77,189,266
456,76,190,266
457,77,190,267
458,76,191,267
459,77,191,268
460,78,191,269
461,77,192,269
462,78,192,270
463,77,193,270
464,78,193,271
465,79,193,272
466,78,194,272
467,79,194,273
468,78,195,273
469,79,195,274
470,78,196,274
471,79,196,275
472,80,196,276
473,79,197,276
474,80,197,277
475,79,198,277
476,80,198,278
477,81,198,279
478,80,199,279
479,81,199,280
480,80,200,280
481,81,200,281
482,80,201,281
483,81,201,282
484,82,201,283
485,81,202,283
486,82,202,284
487,81,203,284
488,82,203,285
489,83,203,286
490,82,204,286
491,83,204,287
492,82,205,287
493,83,205,288
494,82,206,288
495,83,206,289
496,84,206,290
497,83,207,290
498,84,207,291
499,83,208,291
500,84,208,292
501,85,208,293
502,84,209,293
503,85,209,294
504,84,210,294
505,85,210,295
506,84,211,295
507,85,211,296
508,86,211,297
509,85,212,297
510,86,212,298
511,85,213,298
512,86,213,299
513,87,213,300
514,86,214,300
515,87,214,301
516,86,215,301
517,87,215,302
518,88,215,303
519,87,216,303
520,88,216,304
521,87,217,304
522,88,217,305
523,87,218,305
524,88,218,306
525,89,218,307
526,88,219,307
527,89,219,308
528,88,220,308
529,89,220,309
530,90,220,310
531,89,221,310
532,90,221,311
533,89,222,311
534,90,222,312
535,89,223,312
536,90,223,313
537,91,223,314
538,90,224,314
539,91,224,315
540,90,225,315
541,91,225,316
542,92,225,317
543,91,226,317
544,92,226,318
545,91,227,318
546,92,227,319
547,91,228,319
548,92,228,320
549,93,228,321
550,92,229,321
551,93,229,322
552,92,230,322
553,93,230,323
554,94,230,324
555,93,231,324
556,94,231,325
557,93,232,325
558,94,232,326
559,93,233,326
560,94,233,327
561,95,233,328
562,94,234,328
563,95,234,329
564,94,235,329
565,95,235,330
566,96,235,331
567,95,236,331
568,96,236,332
569,95,237,332
570,96,237,333
571,97,237,334
572,96,238,334
573,97,238,335
574,96,239,335
575,97,239,336
576,96,240,336
577,97,240,337
578,98,240,338
579,97,241,338
580,98,241,339
581,97,242,339
582,98,242,340
583,99,242,341
584,98,243,341
585,99,243,342
586,98,244,342
587,99,244,343
588,98,245,343
589,99,245,344
590,100,245,345
591,99,246,345
592,100,246,346
593,99,247,346
594,100,247,347
595,101,247,348
596,100,248,348
597,101,248,349
598,100,249,349
599,101,249,350
600,100,250,350
601,101,250,351
602,102,250,352
603,101,251,352
604,102,251,353
605,101,252,353
606,102,252,354
607,103,252,355
608,102,253,355
609,103,253,356
610,102,254,356
611,103,254,357
612,102,255,357
613,103,255,358
614,104,255,359
615,103,256,359
