family,m,target_r,D_actual,model_prediction,best_ray,entry_len,entry_cost,ray_cost,candidates
golden-per8,9,47,4,1,-1,6,1,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 1, 0, 1)]"
golden-per8,9,49,4,2,+1,6,1,1,"[('+1', 6, 1, 1, 2), ('-1', 6, 4, 0, 4)]"
golden-per8,9,50,6,4,-1,6,4,0,"[('+1', 6, 5, 1, 6), ('-1', 6, 4, 0, 4)]"
golden-per8,9,52,6,8,+1,6,7,1,"[('+1', 6, 7, 1, 8)]"
golden-per8,9,53,4,3,+1,4,1,2,"[('+1', 4, 1, 2, 3), ('-1', 6, 3, 0, 3)]"
golden-per8,9,55,5,4,+1,5,3,1,"[('+1', 5, 3, 1, 4), ('-1', 6, 4, 0, 4)]"
golden-per8,9,56,3,0,-1,6,0,0,"[('+1', 6, 1, 1, 2), ('-1', 6, 0, 0, 0)]"
golden-per8,9,58,4,1,-1,6,1,0,"[('+1', 4, 4, 2, 6), ('-1', 6, 1, 0, 1)]"
golden-per8,9,61,4,1,-1,6,1,0,"[('+1', 4, 5, 2, 7), ('-1', 6, 1, 0, 1)]"
golden-per8,9,62,4,2,+1,6,1,1,"[('+1', 6, 1, 1, 2), ('-1', 6, 3, 0, 3)]"
golden-per8,9,64,4,3,-1,6,3,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,9,65,3,2,+1,5,1,1,"[('+1', 5, 1, 1, 2), ('-1', 6, 4, 0, 4)]"
golden-per8,9,67,3,4,-1,6,4,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 4, 0, 4)]"
golden-per8,9,71,3,1,-1,6,1,0,"[('+1', 6, 2, 1, 3), ('-1', 6, 1, 0, 1)]"
golden-per8,9,73,4,3,-1,6,3,0,"[('+1', 5, 5, 1, 6), ('-1', 6, 3, 0, 3)]"
golden-per8,9,74,3,1,-1,6,1,0,"[('+1', 6, 3, 1, 4), ('-1', 6, 1, 0, 1)]"
golden-per8,9,77,4,0,-1,6,0,0,"[('+1', 3, 4, 2, 6), ('-1', 6, 0, 0, 0)]"
golden-per8,9,79,6,9,+1,6,8,1,"[('+1', 6, 8, 1, 9)]"
golden-per8,9,80,2,1,+1,5,0,1,"[('+1', 5, 0, 1, 1), ('-1', 6, 4, 0, 4)]"
golden-per8,10,4,4,2,+1,6,1,1,"[('+1', 6, 1, 1, 2), ('-1', 6, 6, 0, 6)]"
golden-per8,10,5,4,3,-1,6,3,0,"[('+1', 5, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,10,7,6,3,-1,6,3,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,10,8,3,1,+1,6,0,1,"[('+1', 6, 0, 1, 1), ('-1', 6, 5, 0, 5)]"
golden-per8,10,10,3,2,-1,6,2,0,"[('+1', 5, 3, 1, 4), ('-1', 6, 2, 0, 2)]"
golden-per8,10,13,3,2,-1,6,2,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 2, 0, 2)]"
golden-per8,10,14,5,2,-1,6,2,0,"[('+1', 6, 3, 1, 4), ('-1', 6, 2, 0, 2)]"
golden-per8,10,16,6,5,-1,6,5,0,"[('+1', 6, 6, 1, 7), ('-1', 6, 5, 0, 5)]"
golden-per8,10,17,3,0,-1,6,0,0,"[('+1', 4, 5, 2, 7), ('-1', 6, 0, 0, 0)]"
golden-per8,10,19,4,3,-1,6,3,0,"[('+1', 6, 5, 1, 6), ('-1', 6, 3, 0, 3)]"
golden-per8,10,20,2,1,-1,6,1,0,"[('+1', 5, 2, 1, 3), ('-1', 6, 1, 0, 1)]"
golden-per8,10,23,5,3,-1,6,3,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,10,25,7,5,-1,6,5,0,"[('+1', 6, 6, 1, 7), ('-1', 6, 5, 0, 5)]"
golden-per8,10,26,2,1,-1,6,1,0,"[('+1', 6, 3, 1, 4), ('-1', 6, 1, 0, 1)]"
golden-per8,10,4,4,2,+1,6,1,1,"[('+1', 6, 1, 1, 2), ('-1', 6, 6, 0, 6)]"
golden-per8,10,5,4,3,-1,6,3,0,"[('+1', 5, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,10,7,6,3,-1,6,3,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,10,8,3,1,+1,6,0,1,"[('+1', 6, 0, 1, 1), ('-1', 6, 5, 0, 5)]"
golden-per8,10,10,3,2,-1,6,2,0,"[('+1', 5, 3, 1, 4), ('-1', 6, 2, 0, 2)]"
golden-per8,10,13,3,2,-1,6,2,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 2, 0, 2)]"
golden-per8,10,14,5,2,-1,6,2,0,"[('+1', 6, 3, 1, 4), ('-1', 6, 2, 0, 2)]"
golden-per8,10,16,6,5,-1,6,5,0,"[('+1', 6, 6, 1, 7), ('-1', 6, 5, 0, 5)]"
golden-per8,10,17,3,0,-1,6,0,0,"[('+1', 4, 5, 2, 7), ('-1', 6, 0, 0, 0)]"
golden-per8,10,19,4,3,-1,6,3,0,"[('+1', 6, 5, 1, 6), ('-1', 6, 3, 0, 3)]"
golden-per8,10,20,2,1,-1,6,1,0,"[('+1', 5, 2, 1, 3), ('-1', 6, 1, 0, 1)]"
golden-per8,10,23,5,3,-1,6,3,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,10,25,7,5,-1,6,5,0,"[('+1', 6, 6, 1, 7), ('-1', 6, 5, 0, 5)]"
golden-per8,10,26,2,1,-1,6,1,0,"[('+1', 6, 3, 1, 4), ('-1', 6, 1, 0, 1)]"
golden-per8,10,28,4,1,-1,6,1,0,"[('+1', 6, 2, 1, 3), ('-1', 6, 1, 0, 1)]"
golden-per8,10,31,5,3,+1,6,2,1,"[('+1', 6, 2, 1, 3), ('-1', 6, 4, 0, 4)]"
golden-per8,10,32,5,4,-1,6,4,0,"[('+1', 6, 5, 1, 6), ('-1', 6, 4, 0, 4)]"
golden-per8,10,34,7,6,-1,6,6,0,"[('+1', 6, 7, 1, 8), ('-1', 6, 6, 0, 6)]"
golden-per8,10,35,4,3,-1,6,3,0,"[('+1', 6, 5, 1, 6), ('-1', 6, 3, 0, 3)]"
golden-per8,10,37,4,2,-1,6,2,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 2, 0, 2)]"
golden-per8,10,38,3,2,-1,6,2,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 2, 0, 2)]"
golden-per8,10,40,4,2,+1,5,1,1,"[('+1', 5, 1, 1, 2), ('-1', 6, 5, 0, 5)]"
golden-per8,10,41,4,3,-1,6,3,0,"[('+1', 6, 5, 1, 6), ('-1', 6, 3, 0, 3)]"
golden-per8,10,43,4,3,-1,6,3,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,10,46,4,2,-1,6,2,0,"[('+1', 6, 3, 1, 4), ('-1', 6, 2, 0, 2)]"
golden-per8,10,47,4,1,-1,6,1,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 1, 0, 1)]"
golden-per8,10,49,4,2,+1,6,1,1,"[('+1', 6, 1, 1, 2), ('-1', 6, 4, 0, 4)]"
golden-per8,10,50,6,4,-1,6,4,0,"[('+1', 6, 5, 1, 6), ('-1', 6, 4, 0, 4)]"
golden-per8,10,52,7,8,+1,6,7,1,"[('+1', 6, 7, 1, 8)]"
golden-per8,10,53,4,3,+1,4,1,2,"[('+1', 4, 1, 2, 3), ('-1', 6, 3, 0, 3)]"
golden-per8,10,55,5,4,+1,5,3,1,"[('+1', 5, 3, 1, 4), ('-1', 6, 4, 0, 4)]"
golden-per8,10,56,3,0,-1,6,0,0,"[('+1', 6, 1, 1, 2), ('-1', 6, 0, 0, 0)]"
golden-per8,10,58,4,1,-1,6,1,0,"[('+1', 4, 4, 2, 6), ('-1', 6, 1, 0, 1)]"
golden-per8,10,61,5,1,-1,6,1,0,"[('+1', 4, 5, 2, 7), ('-1', 6, 1, 0, 1)]"
golden-per8,10,62,4,2,+1,6,1,1,"[('+1', 6, 1, 1, 2), ('-1', 6, 3, 0, 3)]"
golden-per8,10,64,4,3,-1,6,3,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
golden-per8,10,65,3,2,+1,5,1,1,"[('+1', 5, 1, 1, 2), ('-1', 6, 4, 0, 4)]"
golden-per8,10,67,3,4,-1,6,4,0,"[('+1', 6, 4, 1, 5), ('-1', 6, 4, 0, 4)]"
golden-per8,10,68,6,5,-1,6,5,0,"[('+1', 6, 6, 1, 7), ('-1', 6, 5, 0, 5)]"
golden-per8,10,71,3,1,-1,6,1,0,"[('+1', 6, 2, 1, 3), ('-1', 6, 1, 0, 1)]"
golden-per8,10,73,4,3,-1,6,3,0,"[('+1', 5, 5, 1, 6), ('-1', 6, 3, 0, 3)]"
golden-per8,10,74,3,1,-1,6,1,0,"[('+1', 6, 3, 1, 4), ('-1', 6, 1, 0, 1)]"
golden-per8,10,76,2,1,-1,6,1,0,"[('+1', 6, 3, 1, 4), ('-1', 6, 1, 0, 1)]"
golden-per8,10,77,4,0,-1,6,0,0,"[('+1', 3, 4, 2, 6), ('-1', 6, 0, 0, 0)]"
golden-per8,10,79,7,9,+1,6,8,1,"[('+1', 6, 8, 1, 9)]"
golden-per8,10,80,3,1,+1,5,0,1,"[('+1', 5, 0, 1, 1), ('-1', 6, 4, 0, 4)]"
sqrt2-per12,3,4,2,1,+1,2,1,0,"[('+1', 2, 1, 0, 1)]"
sqrt2-per12,3,8,1,0,+1,2,0,0,"[('+1', 2, 0, 0, 0)]"
sqrt2-per12,3,4,2,1,+1,2,1,0,"[('+1', 2, 1, 0, 1)]"
sqrt2-per12,3,8,1,0,+1,2,0,0,"[('+1', 2, 0, 0, 0)]"
sqrt2-per12,4,5,2,1,+1,4,1,0,"[('+1', 4, 1, 0, 1)]"
sqrt2-per12,4,10,1,0,+1,4,0,0,"[('+1', 4, 0, 0, 0)]"
sqrt2-per12,4,5,2,1,+1,4,1,0,"[('+1', 4, 1, 0, 1)]"
sqrt2-per12,4,10,1,0,+1,4,0,0,"[('+1', 4, 0, 0, 0)]"
sqrt2-per12,4,31,3,2,+1,2,1,1,"[('+1', 2, 1, 1, 2)]"
sqrt2-per12,4,43,3,2,+1,4,2,0,"[('+1', 4, 2, 0, 2)]"
sqrt2-per12,4,62,2,1,+1,2,0,1,"[('+1', 2, 0, 1, 1)]"
sqrt2-per12,4,67,2,1,+1,3,0,1,"[('+1', 3, 0, 1, 1)]"
sqrt2-per12,5,4,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
sqrt2-per12,5,5,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
sqrt2-per12,5,8,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,5,10,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,5,13,2,1,+1,4,0,1,"[('+1', 4, 0, 1, 1)]"
sqrt2-per12,5,22,3,2,+1,4,1,1,"[('+1', 4, 1, 1, 2)]"
sqrt2-per12,5,25,6,5,+1,4,4,1,"[('+1', 4, 4, 1, 5)]"
sqrt2-per12,5,26,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,5,4,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
sqrt2-per12,5,5,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
sqrt2-per12,5,8,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,5,10,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,5,13,2,1,+1,4,0,1,"[('+1', 4, 0, 1, 1)]"
sqrt2-per12,5,22,3,2,+1,4,1,1,"[('+1', 4, 1, 1, 2)]"
sqrt2-per12,5,25,6,5,+1,4,4,1,"[('+1', 4, 4, 1, 5)]"
sqrt2-per12,5,26,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,5,29,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
sqrt2-per12,5,31,4,3,+1,2,1,2,"[('+1', 2, 1, 2, 3)]"
sqrt2-per12,5,34,5,4,+1,5,4,0,"[('+1', 5, 4, 0, 4)]"
sqrt2-per12,5,37,3,2,+1,4,1,1,"[('+1', 4, 1, 1, 2)]"
sqrt2-per12,5,43,4,3,+1,4,2,1,"[('+1', 4, 2, 1, 3)]"
sqrt2-per12,5,44,2,1,+1,4,0,1,"[('+1', 4, 0, 1, 1)]"
sqrt2-per12,5,50,5,4,+1,4,3,1,"[('+1', 4, 3, 1, 4)]"
sqrt2-per12,5,52,5,4,+1,5,4,0,"[('+1', 5, 4, 0, 4)]"
sqrt2-per12,5,53,3,2,+1,4,1,1,"[('+1', 4, 1, 1, 2)]"
sqrt2-per12,5,56,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,5,59,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
sqrt2-per12,5,62,3,2,+1,2,0,2,"[('+1', 2, 0, 2, 2)]"
sqrt2-per12,5,65,2,1,+1,5,1,0,"[('+1', 5, 1, 0, 1)]"
sqrt2-per12,5,68,4,3,+1,5,3,0,"[('+1', 5, 3, 0, 3)]"
sqrt2-per12,5,70,5,4,+1,4,3,1,"[('+1', 4, 3, 1, 4)]"
sqrt2-per12,5,71,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,5,73,5,4,+1,4,3,1,"[('+1', 4, 3, 1, 4)]"
sqrt2-per12,5,74,2,1,+1,4,0,1,"[('+1', 4, 0, 1, 1)]"
sqrt2-per12,5,77,4,3,+1,5,3,0,"[('+1', 5, 3, 0, 3)]"
sqrt2-per12,5,79,7,6,+1,4,5,1,"[('+1', 4, 5, 1, 6)]"
sqrt2-per12,5,80,1,0,+1,5,0,0,"[('+1', 5, 0, 0, 0)]"
sqrt2-per12,6,1,3,0,-1,6,0,0,"[('+1', 0, 0, 3, 3), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,6,2,2,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,4,2,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,5,3,0,-1,6,0,0,"[('+1', 5, 1, 0, 1), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,6,7,5,2,-1,6,2,0,"[('+1', 5, 3, 0, 3), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,6,8,1,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
sqrt2-per12,6,10,2,-1,-1,6,-1,0,"[('+1', 5, 0, 0, 0), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,11,3,0,-1,6,0,0,"[('+1', 6, 2, 0, 2), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,6,13,2,-1,-1,6,-1,0,"[('+1', 4, 0, 1, 1), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,14,4,1,-1,6,1,0,"[('+1', 5, 2, 0, 2), ('-1', 6, 1, 0, 1)]"
sqrt2-per12,6,16,6,3,-1,6,3,0,"[('+1', 5, 4, 0, 4), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,6,17,3,-1,-1,6,-1,0,"[('+1', 5, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,19,4,0,-1,6,0,0,"[('+1', 6, 3, 0, 3), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,6,20,1,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
sqrt2-per12,6,22,3,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,23,5,2,-1,6,2,0,"[('+1', 2, 3, 2, 5), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,6,25,6,3,-1,6,3,0,"[('+1', 4, 4, 1, 5), ('-1', 6, 3, 0, 3)]"
sqrt2-per12,6,26,1,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
sqrt2-per12,6,1,3,0,-1,6,0,0,"[('+1', 0, 0, 3, 3), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,6,2,2,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,4,2,-1,-1,6,-1,0,"[('+1', 6, 1, 0, 1), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,5,3,0,-1,6,0,0,"[('+1', 5, 1, 0, 1), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,6,7,5,2,-1,6,2,0,"[('+1', 5, 3, 0, 3), ('-1', 6, 2, 0, 2)]"
sqrt2-per12,6,8,1,-2,-1,6,-2,0,"[('+1', 6, 0, 0, 0), ('-1', 6, -2, 0, -2)]"
sqrt2-per12,6,10,2,-1,-1,6,-1,0,"[('+1', 5, 0, 0, 0), ('-1', 6, -1, 0, -1)]"
sqrt2-per12,6,11,3,0,-1,6,0,0,"[('+1', 6, 2, 0, 2), ('-1', 6, 0, 0, 0)]"
sqrt2-per12,6,13,2,-1,-1,6,-1,0,"[('+1', 4, 0, 1, 1), ('-1', 6, -1, 0, -1)]"
