label,family,N,m,steps,D,d_rat,support_start,support_end,method,elapsed_sec
heartbeat,hybrid_fwd,530,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,530,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,530,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,530,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,530,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,530,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,530,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,530,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_fwd,530,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,4,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,5,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,6,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,7,53,2,2,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,8,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,9,53,3,3,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,10,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,11,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,0,12,53,4,4,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,2,53,0,0,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
heartbeat,hybrid_rev,53,3,53,1,1,22,22,derived_letter_identity_0_53_plus_spotcheck,0.0
