family,m,target_r,D_actual,model,diff,mechanism,ray_touches,chain
sqrt2-per12,5,26,1,0,-1,D_no_ray_contact,,"1,2;1,1;2,3;1,1;2,1"
sqrt2-per12,5,29,2,1,-1,D_no_ray_contact,,"1,1;1,2;2,1;1,4;2,1"
sqrt2-per12,5,31,4,3,-1,D_no_ray_contact,,"1,2;1,2;2,2;1,3;2,2"
sqrt2-per12,5,34,5,4,-1,D_no_ray_contact,,"1,1;1,2;2,1;1,4;2,4"
sqrt2-per12,5,37,3,2,-1,D_no_ray_contact,,"1,2;1,1;2,3;1,2;2,2"
sqrt2-per12,5,43,4,3,-1,D_no_ray_contact,,"1,2;1,1;2,1;1,1;2,6"
sqrt2-per12,5,44,2,1,-1,D_no_ray_contact,,"1,2;1,1;2,4;1,1;2,1"
sqrt2-per12,5,50,5,4,-1,D_no_ray_contact,,"1,2;1,1;2,1;1,3;2,5"
sqrt2-per12,5,52,5,4,-1,D_no_ray_contact,,"1,1;1,2;2,2;1,1;2,6"
sqrt2-per12,5,53,3,2,-1,B_rides+1_costlier_than_model,0:+1;1:+1,"1,2;1,1;2,5;1,1;2,1"
sqrt2-per12,5,56,1,0,-1,D_no_ray_contact,,"1,2;1,1;2,2;1,2;2,1"
sqrt2-per12,5,59,2,1,-1,D_no_ray_contact,,"1,1;1,2;2,1;1,2;2,3"
sqrt2-per12,5,62,3,2,-1,D_no_ray_contact,,"1,2;1,2;2,2;1,3;2,1"
sqrt2-per12,5,65,2,1,-1,D_no_ray_contact,,"1,1;1,1;2,2;1,4;2,1"
sqrt2-per12,5,68,4,3,-1,D_no_ray_contact,,"1,1;1,2;2,1;1,4;2,3"
sqrt2-per12,5,70,5,4,-1,D_no_ray_contact,,"1,2;1,1;2,3;1,2;2,4"
sqrt2-per12,5,71,1,0,-1,D_no_ray_contact,,"1,2;1,1;2,1;1,3;2,1"
sqrt2-per12,5,73,5,4,-1,D_no_ray_contact,,"1,2;1,1;2,1;1,6;2,2"
sqrt2-per12,5,74,2,1,-1,D_no_ray_contact,,"1,2;1,1;2,3;1,2;2,1"
sqrt2-per12,5,77,4,3,-1,D_no_ray_contact,,"1,1;1,1;2,2;1,4;2,3"
sqrt2-per12,5,79,7,6,-1,D_no_ray_contact,,"1,2;1,1;2,1;1,6;2,4"
sqrt2-per12,5,80,1,0,-1,D_no_ray_contact,,"1,2;1,3;2,1;1,1;2,1"
sqrt2-per12,6,1,3,0,-3,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1;5:+1;6:+1,"2,2;1,2;1,2;2,2;1,2;2,2"
sqrt2-per12,6,2,2,-1,-3,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1;5:+1,"2,2;1,2;1,2;2,2;1,2;2,1"
sqrt2-per12,6,4,2,-1,-3,D_no_ray_contact,,"2,2;1,1;1,1;2,2;1,3;2,2"
sqrt2-per12,6,5,3,0,-3,D_no_ray_contact,,"2,2;1,1;1,3;2,1;1,2;2,3"
sqrt2-per12,6,7,5,2,-3,D_no_ray_contact,,"2,2;1,1;1,3;2,2;1,2;2,4"
sqrt2-per12,6,8,1,-2,-3,D_no_ray_contact,,"2,2;1,1;1,1;2,2;1,3;2,1"
sqrt2-per12,6,10,2,-1,-3,D_no_ray_contact,,"2,2;1,1;1,3;2,1;1,2;2,2"
sqrt2-per12,6,11,3,0,-3,D_no_ray_contact,,"2,2;1,1;1,2;2,2;1,4;2,1"
sqrt2-per12,6,13,2,-1,-3,D_no_ray_contact,,"2,2;1,2;1,1;2,3;1,1;2,2"
sqrt2-per12,6,14,4,1,-3,D_no_ray_contact,,"2,2;1,1;1,3;2,2;1,2;2,3"
sqrt2-per12,6,16,6,3,-3,D_no_ray_contact,,"2,2;1,1;1,1;2,5;1,2;2,4"
sqrt2-per12,6,17,3,-1,-4,D_no_ray_contact,,"2,1;1,2;1,2;2,4;1,1;2,1"
sqrt2-per12,6,19,4,0,-4,D_no_ray_contact,,"2,2;1,3;1,1;2,2;1,1;2,4"
sqrt2-per12,6,20,1,-2,-3,D_no_ray_contact,,"2,2;1,1;1,3;2,1;1,2;2,1"
sqrt2-per12,6,22,3,-1,-4,D_no_ray_contact,,"2,1;1,2;1,1;2,4;1,1;2,2"
sqrt2-per12,6,23,5,2,-3,B_rides+1_costlier_than_model,0:+1;1:+1;2:+1;3:+1;4:+1,"2,2;1,2;1,2;2,2;1,1;2,5"
sqrt2-per12,6,25,6,3,-3,D_no_ray_contact,,"2,2;1,2;1,1;2,1;1,3;2,6"
sqrt2-per12,6,26,1,-2,-3,D_no_ray_contact,,"2,2;1,2;1,1;2,3;1,1;2,1"
sqrt2-per12,6,28,3,0,-3,D_no_ray_contact,,"2,2;1,1;1,3;2,2;1,2;2,2"
sqrt2-per12,6,29,2,-2,-4,D_no_ray_contact,,"2,1;1,1;1,2;2,1;1,4;2,1"
sqrt2-per12,6,31,4,0,-4,D_no_ray_contact,,"2,1;1,2;1,2;2,2;1,3;2,2"
sqrt2-per12,6,32,5,2,-3,D_no_ray_contact,,"2,2;1,1;1,1;2,5;1,2;2,3"
sqrt2-per12,6,34,5,2,-3,D_no_ray_contact,,"2,2;1,1;1,2;2,1;1,4;2,4"
