m,word_label,word,L,slack_bound,n_chains_in_band,n_non_loop_chains
8,random130,12111212,5,6,1,0
8,random131,11212221,4,5,2,1
8,random132,21222112,3,4,2,1
8,random133,22212222,1,2,1,0
8,random134,12121111,6,7,4,3
8,random135,11212112,5,6,2,1
8,random136,11221211,5,6,4,3
8,random137,12112212,4,5,1,0
8,random138,22111121,5,6,3,2
8,random139,21221121,4,5,3,2
8,random140,22221211,3,4,4,3
8,random141,21122211,4,5,4,3
8,random142,21222212,2,3,1,0
8,random143,21211222,3,4,1,0
8,random144,21211211,5,6,4,3
8,random145,11121211,6,7,4,3
8,random146,11111212,6,7,1,0
8,random147,11211222,4,5,1,0
8,random148,22112111,5,6,4,3
8,random149,12121212,4,5,1,0
8,random150,12112211,5,6,4,3
8,random151,12212211,4,5,4,3
8,random152,22121112,4,5,2,1
8,random153,11221111,6,7,4,3
8,random154,21212221,3,4,2,1
8,random155,21121111,6,7,4,3
8,random156,11122111,6,7,4,3
8,random157,22212212,2,3,1,0
8,random158,21221111,5,6,4,3
8,random159,22221122,2,3,1,0
8,random160,11112122,5,6,1,0
8,random161,12122222,2,3,1,0
8,random162,21112212,4,5,1,0
8,random163,22221222,1,2,1,0
8,random164,12222222,1,2,1,0
8,random165,22211212,3,4,1,0
8,random166,22111221,4,5,2,1
8,random167,21111121,6,7,3,2
8,random168,12221111,5,6,4,3
8,random169,22221212,2,3,1,0
8,random170,11222122,3,4,1,0
8,random171,11112221,5,6,2,1
8,random172,12121112,5,6,2,1
8,random173,22222111,3,4,4,3
8,random174,11112111,7,8,4,3
8,random175,11221221,4,5,2,1
8,random176,21222222,1,2,1,0
8,random177,12122121,4,5,3,2
8,random178,11222121,4,5,3,2
8,random179,22212112,3,4,2,1
8,random180,11211221,5,6,2,1
8,random181,21212111,5,6,4,3
8,random182,12112221,4,5,2,1
8,random183,12211211,5,6,4,3
8,random184,21122212,3,4,1,0
8,random185,11111221,6,7,2,1
8,random186,21221211,4,5,4,3
8,random187,21121112,5,6,2,1
8,random188,22111122,4,5,1,0
8,random189,22122111,4,5,4,3
