m,word_label,word,a_seq,L,slack_bound,k_star_1indexed,chain_max,rho_at_kstar,rho_mod3,rho_mod9,rho_mod27,left_loop_ray_exact,left_1ray_mod3_coarse,g_at_kstar,g_loop_at_kstar,diff_g_minus_gloop,residue_independent_check
7,random032,2121111,"2,4,3,2,1,1,2",5,6,7,6,9,0,0,9,True,True,6,5,1,True
7,random033,1221221,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random035,2221112,"2,4,3,2,1,1,2",3,4,4,4,17,2,8,17,True,True,4,1,3,True
7,random037,2111111,"2,2,2,2,2,4,1",6,7,6,7,5,2,5,5,True,True,7,5,2,True
7,random037,2111111,"2,2,4,3,2,1,1",6,7,5,7,17,2,8,17,True,True,7,4,3,True
7,random037,2111111,"2,4,3,2,1,1,2",6,7,7,7,9,0,0,9,True,True,7,6,1,True
7,random040,2222221,"2,2,2,2,2,4,1",1,2,6,2,5,2,5,5,True,True,2,0,2,True
7,random041,1212121,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random041,1212121,"2,4,3,2,1,1,2",4,5,3,5,13,1,4,13,True,False,5,2,3,True
7,random043,1211211,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random043,1211211,"2,2,4,3,2,1,1",5,6,4,6,13,1,4,13,True,False,6,3,3,True
7,random043,1211211,"2,4,3,2,1,1,2",5,6,4,6,17,2,8,17,True,True,6,3,3,True
7,random047,2112221,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random048,2111211,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random048,2111211,"2,2,4,3,2,1,1",5,6,4,6,13,1,4,13,True,False,6,3,3,True
7,random048,2111211,"2,4,3,2,1,1,2",5,6,4,6,17,2,8,17,True,True,6,3,3,True
7,random049,2222211,"2,2,2,2,2,4,1",2,3,6,3,5,2,5,5,True,True,3,1,2,True
7,random049,2222211,"2,2,4,3,2,1,1",2,3,4,3,13,1,4,13,True,False,3,0,3,True
7,random049,2222211,"2,4,3,2,1,1,2",2,3,3,3,13,1,4,13,True,False,3,0,3,True
7,random050,2122221,"2,2,2,2,2,4,1",2,3,6,3,5,2,5,5,True,True,3,1,2,True
7,random051,2211211,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random051,2211211,"2,2,4,3,2,1,1",4,5,4,5,13,1,4,13,True,False,5,2,3,True
7,random051,2211211,"2,4,3,2,1,1,2",4,5,4,5,17,2,8,17,True,True,5,2,3,True
7,random052,2212221,"2,2,2,2,2,4,1",2,3,6,3,5,2,5,5,True,True,3,1,2,True
7,random053,1211121,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random053,1211121,"2,4,3,2,1,1,2",5,6,4,6,17,2,8,17,True,True,6,3,3,True
7,random054,1212211,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random054,1212211,"2,2,4,3,2,1,1",4,5,4,5,13,1,4,13,True,False,5,2,3,True
7,random054,1212211,"2,4,3,2,1,1,2",4,5,3,5,13,1,4,13,True,False,5,2,3,True
7,random055,2121112,"2,4,3,2,1,1,2",4,5,4,5,17,2,8,17,True,True,5,2,3,True
7,random058,2122111,"2,2,2,2,2,4,1",4,5,6,5,5,2,5,5,True,True,5,3,2,True
7,random058,2122111,"2,2,4,3,2,1,1",4,5,5,5,17,2,8,17,True,True,5,2,3,True
7,random058,2122111,"2,4,3,2,1,1,2",4,5,7,5,9,0,0,9,True,True,5,4,1,True
7,random059,1112121,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random059,1112121,"2,4,3,2,1,1,2",5,6,3,6,13,1,4,13,True,False,6,3,3,True
7,random060,1121121,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random060,1121121,"2,4,3,2,1,1,2",5,6,4,6,17,2,8,17,True,True,6,3,3,True
7,random062,1222211,"2,2,2,2,2,4,1",3,4,6,4,5,2,5,5,True,True,4,2,2,True
7,random062,1222211,"2,2,4,3,2,1,1",3,4,4,4,13,1,4,13,True,False,4,1,3,True
7,random062,1222211,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random063,2212112,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random065,1222112,"2,4,3,2,1,1,2",3,4,3,4,13,1,4,13,True,False,4,1,3,True
7,random066,1111121,"2,2,2,2,2,4,1",6,7,6,7,5,2,5,5,True,True,7,5,2,True
7,random066,1111121,"2,4,3,2,1,1,2",6,7,4,7,17,2,8,17,True,True,7,4,3,True
7,random067,2111121,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random067,2111121,"2,4,3,2,1,1,2",5,6,4,6,17,2,8,17,True,True,6,3,3,True
7,random068,1111211,"2,2,2,2,2,4,1",6,7,6,7,5,2,5,5,True,True,7,5,2,True
7,random068,1111211,"2,2,4,3,2,1,1",6,7,4,7,13,1,4,13,True,False,7,4,3,True
7,random068,1111211,"2,4,3,2,1,1,2",6,7,4,7,17,2,8,17,True,True,7,4,3,True
7,random069,2211111,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random069,2211111,"2,2,4,3,2,1,1",5,6,5,6,17,2,8,17,True,True,6,3,3,True
7,random069,2211111,"2,4,3,2,1,1,2",5,6,7,6,9,0,0,9,True,True,6,5,1,True
7,random070,1111221,"2,2,2,2,2,4,1",5,6,6,6,5,2,5,5,True,True,6,4,2,True
7,random072,1121112,"2,4,3,2,1,1,2",5,6,4,6,17,2,8,17,True,True,6,3,3,True
7,random075,1212112,"2,4,3,2,1,1,2",4,5,3,5,13,1,4,13,True,False,5,2,3,True
