source,start_n,k0,L,n_upcrossings,d_before,d_after,x_entry,word
breach_candidate,26084591,4,6,3,1,4,66026623,111111
breach_candidate,30826655,0,4,2,0,2,30826655,1111
breach_candidate,30826655,5,4,2,2,4,117044959,1111
breach_candidate,7114175,0,5,2,0,2,7114175,11111
breach_candidate,7114175,6,3,2,3,4,40517455,111
breach_candidate,18179711,0,6,3,0,3,18179711,111111
breach_candidate,18179711,7,2,1,3,4,155308711,11
breach_candidate,18179711,15,6,3,4,7,248774527,111111
breach_candidate,102150395,4,10,6,0,6,129284095,1111111111
breach_candidate,102150395,24,4,1,5,7,3358615711,1111
breach_candidate,102150395,29,5,2,7,9,12752244031,11111
breach_candidate,288471131,2,2,1,0,1,324530023,11
breach_candidate,288471131,5,9,5,1,6,547644415,111111111
breach_candidate,305189531,2,3,1,0,1,343338223,111
breach_candidate,305189531,6,5,3,2,4,869074879,11111
breach_candidate,208839707,2,4,2,0,2,234944671,1111
breach_candidate,208839707,7,11,6,2,8,892055551,11111111111
breach_candidate,208839707,36,4,1,7,9,27840591967,1111
breach_candidate,37111067,2,5,3,0,3,41749951,11111
breach_candidate,37111067,8,3,1,3,4,237779023,111
breach_candidate,137616155,2,6,3,0,3,154818175,111111
breach_candidate,137616155,9,2,1,3,4,1322606839,11
breach_candidate,311761223,0,2,1,0,1,311761223,11
breach_candidate,311761223,4,9,4,0,5,394572799,111111111
breach_candidate,175595687,0,2,1,0,1,175595687,11
breach_candidate,175595687,5,6,3,1,4,333357439,111111
breach_candidate,192314087,0,2,1,0,1,192314087,11
breach_candidate,192314087,6,9,5,2,6,547644415,111111111
breach_candidate,95964263,0,2,1,0,1,95964263,11
breach_candidate,95964263,3,3,1,1,2,161939695,111
breach_candidate,95964263,7,4,2,2,4,409909855,1111
breach_candidate,246721895,0,2,1,0,1,246721895,11
breach_candidate,246721895,3,4,2,1,3,416343199,1111
breach_candidate,246721895,8,3,1,3,4,1580803087,111
breach_candidate,24740711,0,2,1,0,1,24740711,11
breach_candidate,24740711,3,5,2,1,3,41749951,11111
breach_candidate,24740711,9,3,2,3,5,237779023,111
breach_candidate,129015503,0,3,1,0,1,129015503,111
breach_candidate,129015503,4,7,3,0,4,163285247,1111111
breach_candidate,315336239,0,3,1,0,1,315336239,111
breach_candidate,315336239,5,6,3,1,4,598646143,111111
breach_candidate,9568367,0,3,1,0,1,9568367,111
breach_candidate,9568367,6,5,3,2,4,27247423,11111
breach_candidate,235704815,0,3,1,0,1,235704815,111
breach_candidate,235704815,4,2,1,1,2,596627815,11
breach_candidate,235704815,7,4,2,2,4,1006809439,1111
breach_candidate,63976175,0,3,1,0,1,63976175,111
breach_candidate,63976175,4,3,2,1,3,161939695,111
breach_candidate,63976175,8,4,2,3,5,409909855,1111
breach_candidate,164481263,0,3,1,0,1,164481263,111
breach_candidate,164481263,4,4,2,1,3,416343199,1111
breach_candidate,164481263,9,3,2,3,5,1580803087,111
breach_candidate,86010335,0,4,2,0,2,86010335,1111
breach_candidate,86010335,5,7,3,1,5,163285247,1111111
breach_candidate,102728735,0,4,2,0,2,102728735,1111
breach_candidate,102728735,6,5,2,2,4,292536127,11111
breach_candidate,6378911,0,4,2,0,2,6378911,1111
breach_candidate,6378911,7,5,3,2,5,27247423,11111
breach_candidate,157136543,0,4,2,0,2,157136543,1111
breach_candidate,157136543,5,2,1,2,3,596627815,11
breach_candidate,157136543,8,4,2,3,5,1006809439,1111
breach_candidate,257641631,0,4,2,0,2,257641631,1111
breach_candidate,257641631,5,3,1,2,3,978233071,111
breach_candidate,257641631,9,3,2,3,5,2476152463,111
breach_candidate,272331071,0,5,2,0,2,272331071,11111
breach_candidate,272331071,6,6,3,2,5,775505279,111111
breach_candidate,175981247,0,5,2,0,2,175981247,11111
breach_candidate,175981247,7,4,2,2,4,751701151,1111
breach_candidate,175981247,12,3,1,4,5,2854115311,111
breach_candidate,175981247,16,2,1,5,6,7224479383,11
breach_candidate,4252607,0,5,2,0,2,4252607,11111
breach_candidate,4252607,6,1,1,3,3,24219931,1
breach_candidate,4252607,8,5,2,3,5,27247423,11111
breach_candidate,104757695,0,5,2,0,2,104757695,11111
breach_candidate,104757695,6,2,1,3,3,596627815,11
breach_candidate,104757695,9,4,2,3,5,1006809439,1111
breach_candidate,289049471,0,6,3,0,3,289049471,111111
breach_candidate,289049471,7,4,1,2,4,1234670303,1111
breach_candidate,117320831,0,6,3,0,3,117320831,111111
breach_candidate,117320831,8,4,2,3,5,751701151,1111
breach_candidate,117320831,13,3,1,5,6,2854115311,111
breach_candidate,117320831,17,2,1,6,7,7224479383,11
breach_candidate,217825919,0,6,3,0,3,217825919,111111
breach_candidate,217825919,9,3,2,3,5,2093490031,111
breach_candidate,576735227,6,6,4,1,4,821171839,111111
breach_candidate,576735227,16,5,2,3,6,5919113279,11111
breach_candidate,514091771,4,2,1,0,1,650647399,11
breach_candidate,514091771,7,6,3,1,4,1097967487,111111
breach_candidate,42347771,4,3,2,0,2,53596399,111
breach_candidate,42347771,8,4,2,2,4,135665887,1111
breach_candidate,157833467,4,4,2,0,2,199757983,1111
breach_candidate,157833467,9,4,2,2,4,758456095,1111
breach_candidate,1094787323,4,5,3,0,3,1385590207,11111
breach_candidate,1094787323,10,3,1,3,4,7891369231,111
breach_candidate,1094787323,50,4,2,4,6,20803807327,1111
breach_candidate,859459835,4,6,3,0,3,1087753855,111111
breach_candidate,859459835,11,4,2,4,5,9292647199,1111
breach_candidate,667504475,2,2,1,0,1,750942535,11
breach_candidate,667504475,6,6,3,1,4,950411647,111111
breach_candidate,604861019,2,2,1,0,1,680468647,11
breach_candidate,604861019,7,10,5,1,6,1291827199,1111111111
breach_candidate,133117019,2,2,1,0,1,149756647,11
breach_candidate,133117019,5,2,1,1,2,252714343,11
breach_candidate,133117019,8,4,2,2,4,426455455,1111
breach_candidate,133117019,21,4,2,4,6,2593642207,1111
breach_candidate,248602715,2,2,1,0,1,279678055,11
breach_candidate,248602715,5,3,1,1,2,471956719,111
breach_candidate,248602715,9,5,3,2,5,1194640447,11111
breach_candidate,1185556571,2,2,1,0,1,1333751143,11
breach_candidate,1185556571,5,4,2,1,3,2250705055,1111
breach_candidate,1185556571,10,5,2,3,5,8545645759,11111
breach_candidate,1185556571,18,5,1,4,6,13688472127,11111
breach_candidate,950229083,2,2,1,0,1,1069007719,11
breach_candidate,950229083,5,5,2,1,3,1803950527,11111
breach_candidate,950229083,11,2,1,4,4,10274061991,11
breach_candidate,298035611,2,3,1,0,1,335290063,111
breach_candidate,298035611,6,7,3,1,4,424351487,1111111
breach_candidate,20155391,0,9,5,0,5,20155391,111111111
breach_candidate,983598875,2,10,6,0,6,1106548735,1111111111
breach_candidate,172003175,0,2,1,0,1,172003175,11
breach_candidate,172003175,3,8,4,1,5,290255359,11111111
breach_candidate,114668783,0,3,1,0,1,114668783,111
breach_candidate,114668783,4,8,5,1,6,290255359,11111111
breach_candidate,76445855,0,4,2,0,2,76445855,1111
breach_candidate,76445855,5,8,4,2,6,290255359,11111111
breach_candidate,534693311,0,5,2,0,2,534693311,11111
breach_candidate,534693311,6,5,3,3,5,3045245503,11111
breach_candidate,840191615,0,6,3,0,3,840191615,111111
breach_candidate,840191615,7,4,2,3,5,7177730719,1111
breach_candidate,840191615,12,2,1,5,6,27252946327,11
breach_candidate,560127743,0,7,4,0,4,560127743,1111111
breach_candidate,560127743,8,4,2,4,6,7177730719,1111
breach_candidate,857147903,0,8,4,0,4,857147903,11111111
breach_candidate,857147903,9,2,1,4,5,16475822455,11
breach_candidate,11138347259,4,9,5,0,5,14096970751,111111111
breach_candidate,1196210267,2,2,1,0,1,1345736551,11
breach_candidate,1196210267,5,8,4,1,5,2270930431,11111111
breach_candidate,6177624731,2,3,1,0,1,6949827823,111
breach_candidate,6177624731,6,9,5,2,6,17591751679,111111111
breach_candidate,6177624731,16,7,3,5,9,253607261951,1111111
breach_candidate,3693814811,2,4,2,0,2,4155541663,1111
breach_candidate,3693814811,7,5,3,2,5,15778072255,11111
breach_candidate,13647447323,2,5,3,0,3,15353378239,11111
breach_candidate,13647447323,8,4,2,3,5,87442287007,1111
breach_candidate,2868943643,2,6,3,0,3,3227561599,111111
breach_candidate,2868943643,9,5,3,3,6,27572957887,11111
breach_candidate,2868943643,19,3,1,6,7,198749461711,111
breach_candidate,1488027419,2,7,4,0,4,1674030847,1111111
breach_candidate,1488027419,10,2,1,4,5,21451789831,11
