family,m,mod_target,target_r,D_actual,model_prediction,match,best_ray,note
golden-per8,6,81,7,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,8,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,10,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,11,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,13,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,14,3,,NO_RAY_TOUCHED,,
golden-per8,6,81,16,6,,NO_RAY_TOUCHED,,
golden-per8,6,81,17,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,19,3,,NO_RAY_TOUCHED,,
golden-per8,6,81,20,0,,NO_RAY_TOUCHED,,
golden-per8,6,81,22,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,23,4,2,False,+1,
golden-per8,6,81,25,5,,NO_RAY_TOUCHED,,
golden-per8,6,81,26,0,,NO_RAY_TOUCHED,,
golden-per8,6,81,28,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,29,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,31,3,,NO_RAY_TOUCHED,,
golden-per8,6,81,32,5,,NO_RAY_TOUCHED,,
golden-per8,6,81,34,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,35,3,2,False,+1,
golden-per8,6,81,37,3,,NO_RAY_TOUCHED,,
golden-per8,6,81,38,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,40,2,2,True,+1,
golden-per8,6,81,41,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,43,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,44,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,46,3,2,False,+1,
golden-per8,6,81,47,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,49,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,50,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,52,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,53,2,2,True,+1,
golden-per8,6,81,55,5,,NO_RAY_TOUCHED,,
golden-per8,6,81,56,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,58,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,59,3,,NO_RAY_TOUCHED,,
golden-per8,6,81,61,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,62,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,64,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,65,3,,NO_RAY_TOUCHED,,
golden-per8,6,81,67,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,68,3,,NO_RAY_TOUCHED,,
golden-per8,6,81,70,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,71,0,,NO_RAY_TOUCHED,,
golden-per8,6,81,73,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,74,2,,NO_RAY_TOUCHED,,
golden-per8,6,81,76,1,,NO_RAY_TOUCHED,,
golden-per8,6,81,77,4,,NO_RAY_TOUCHED,,
golden-per8,6,81,79,6,,NO_RAY_TOUCHED,,
golden-per8,6,81,80,1,2,False,+1,
golden-per8,7,27,1,2,2,True,+1,
golden-per8,7,27,2,1,2,False,+1,
golden-per8,7,27,4,3,,NO_RAY_TOUCHED,,
golden-per8,7,27,5,2,,NO_RAY_TOUCHED,,
golden-per8,7,27,7,5,,NO_RAY_TOUCHED,,
golden-per8,7,27,8,2,,NO_RAY_TOUCHED,,
golden-per8,7,27,10,1,,NO_RAY_TOUCHED,,
golden-per8,7,27,11,3,,NO_RAY_TOUCHED,,
golden-per8,7,27,13,2,,NO_RAY_TOUCHED,,
golden-per8,7,27,14,4,,NO_RAY_TOUCHED,,
golden-per8,7,27,16,6,,NO_RAY_TOUCHED,,
golden-per8,7,27,17,2,,NO_RAY_TOUCHED,,
golden-per8,7,27,19,3,,NO_RAY_TOUCHED,,
golden-per8,7,27,20,0,,NO_RAY_TOUCHED,,
golden-per8,7,27,22,2,,NO_RAY_TOUCHED,,
golden-per8,7,27,23,5,,NO_RAY_TOUCHED,,
golden-per8,7,27,25,5,,NO_RAY_TOUCHED,,
golden-per8,7,27,26,1,,NO_RAY_TOUCHED,,
golden-per8,7,81,1,2,2,True,+1,
golden-per8,7,81,2,1,2,False,+1,
