alphabet,m,word,D,L,is_break,min_k_g_loop,predicted_break,agree
"{1,2,3}",5,22312,0,0,False,-1,True,False
"{1,2,3}",5,22313,0,0,False,-1,True,False
"{1,2,3}",5,22321,0,0,False,-1,True,False
"{1,2,3}",5,22322,0,0,False,-1,True,False
"{1,2,3}",5,22323,0,0,False,-2,True,False
"{1,2,3}",5,22331,0,0,False,-2,True,False
"{1,2,3}",5,22332,0,0,False,-2,True,False
"{1,2,3}",5,22333,0,0,False,-3,True,False
"{1,2,3}",5,23111,2,2,False,-1,True,False
"{1,2,3}",5,23112,1,1,False,-1,True,False
"{1,2,3}",5,23113,1,1,False,-1,True,False
"{1,2,3}",5,23121,1,1,False,-1,True,False
"{1,2,3}",5,23122,0,0,False,-1,True,False
"{1,2,3}",5,23123,0,0,False,-1,True,False
"{1,2,3}",5,23131,0,0,False,-1,True,False
"{1,2,3}",5,23132,0,0,False,-1,True,False
"{1,2,3}",5,23133,0,0,False,-2,True,False
"{1,2,3}",5,23211,1,1,False,-1,True,False
"{1,2,3}",5,23212,0,0,False,-1,True,False
"{1,2,3}",5,23213,0,0,False,-1,True,False
"{1,2,3}",5,23221,0,0,False,-1,True,False
"{1,2,3}",5,23222,0,0,False,-1,True,False
"{1,2,3}",5,23223,0,0,False,-2,True,False
"{1,2,3}",5,23231,0,0,False,-2,True,False
"{1,2,3}",5,23232,0,0,False,-2,True,False
"{1,2,3}",5,23233,0,0,False,-3,True,False
"{1,2,3}",5,23311,0,0,False,-2,True,False
"{1,2,3}",5,23312,0,0,False,-2,True,False
"{1,2,3}",5,23313,0,0,False,-2,True,False
"{1,2,3}",5,23321,0,0,False,-2,True,False
"{1,2,3}",5,23322,0,0,False,-2,True,False
"{1,2,3}",5,23323,0,0,False,-3,True,False
"{1,2,3}",5,23331,0,0,False,-3,True,False
"{1,2,3}",5,23332,0,0,False,-3,True,False
"{1,2,3}",5,23333,0,0,False,-4,True,False
"{1,2,3}",5,31111,3,3,False,-1,True,False
"{1,2,3}",5,31112,2,2,False,-1,True,False
"{1,2,3}",5,31113,2,2,False,-1,True,False
"{1,2,3}",5,31121,2,2,False,-1,True,False
"{1,2,3}",5,31122,1,1,False,-1,True,False
"{1,2,3}",5,31123,1,1,False,-1,True,False
"{1,2,3}",5,31131,1,1,False,-1,True,False
"{1,2,3}",5,31132,1,1,False,-1,True,False
"{1,2,3}",5,31133,1,1,False,-1,True,False
"{1,2,3}",5,31211,2,2,False,-1,True,False
"{1,2,3}",5,31212,1,1,False,-1,True,False
"{1,2,3}",5,31213,1,1,False,-1,True,False
"{1,2,3}",5,31221,1,1,False,-1,True,False
"{1,2,3}",5,31222,0,0,False,-1,True,False
"{1,2,3}",5,31223,0,0,False,-1,True,False
"{1,2,3}",5,31231,0,0,False,-1,True,False
"{1,2,3}",5,31232,0,0,False,-1,True,False
"{1,2,3}",5,31233,0,0,False,-2,True,False
"{1,2,3}",5,31311,1,1,False,-1,True,False
"{1,2,3}",5,31312,0,0,False,-1,True,False
"{1,2,3}",5,31313,0,0,False,-1,True,False
"{1,2,3}",5,31321,0,0,False,-1,True,False
"{1,2,3}",5,31322,0,0,False,-1,True,False
"{1,2,3}",5,31323,0,0,False,-2,True,False
"{1,2,3}",5,31331,0,0,False,-2,True,False
"{1,2,3}",5,31332,0,0,False,-2,True,False
"{1,2,3}",5,31333,0,0,False,-3,True,False
"{1,2,3}",5,32111,2,2,False,-1,True,False
"{1,2,3}",5,32112,1,1,False,-1,True,False
"{1,2,3}",5,32113,1,1,False,-1,True,False
"{1,2,3}",5,32121,1,1,False,-1,True,False
"{1,2,3}",5,32122,0,0,False,-1,True,False
"{1,2,3}",5,32123,0,0,False,-1,True,False
"{1,2,3}",5,32131,0,0,False,-1,True,False
"{1,2,3}",5,32132,0,0,False,-1,True,False
"{1,2,3}",5,32133,0,0,False,-2,True,False
"{1,2,3}",5,32211,1,1,False,-1,True,False
"{1,2,3}",5,32212,0,0,False,-1,True,False
"{1,2,3}",5,32213,0,0,False,-1,True,False
"{1,2,3}",5,32221,0,0,False,-1,True,False
"{1,2,3}",5,32222,0,0,False,-1,True,False
"{1,2,3}",5,32223,0,0,False,-2,True,False
"{1,2,3}",5,32231,0,0,False,-2,True,False
"{1,2,3}",5,32232,0,0,False,-2,True,False
"{1,2,3}",5,32233,0,0,False,-3,True,False
"{1,2,3}",5,32311,0,0,False,-2,True,False
"{1,2,3}",5,32312,0,0,False,-2,True,False
"{1,2,3}",5,32313,0,0,False,-2,True,False
"{1,2,3}",5,32321,0,0,False,-2,True,False
"{1,2,3}",5,32322,0,0,False,-2,True,False
"{1,2,3}",5,32323,0,0,False,-3,True,False
"{1,2,3}",5,32331,0,0,False,-3,True,False
"{1,2,3}",5,32332,0,0,False,-3,True,False
"{1,2,3}",5,32333,0,0,False,-4,True,False
"{1,2,3}",5,33111,1,1,False,-2,True,False
"{1,2,3}",5,33112,0,0,False,-2,True,False
"{1,2,3}",5,33113,0,0,False,-2,True,False
"{1,2,3}",5,33121,0,0,False,-2,True,False
"{1,2,3}",5,33122,0,0,False,-2,True,False
"{1,2,3}",5,33123,0,0,False,-2,True,False
"{1,2,3}",5,33131,0,0,False,-2,True,False
"{1,2,3}",5,33132,0,0,False,-2,True,False
"{1,2,3}",5,33133,0,0,False,-3,True,False
"{1,2,3}",5,33211,0,0,False,-2,True,False
"{1,2,3}",5,33212,0,0,False,-2,True,False
"{1,2,3}",5,33213,0,0,False,-2,True,False
"{1,2,3}",5,33221,0,0,False,-2,True,False
"{1,2,3}",5,33222,0,0,False,-2,True,False
"{1,2,3}",5,33223,0,0,False,-3,True,False
"{1,2,3}",5,33231,0,0,False,-3,True,False
"{1,2,3}",5,33232,0,0,False,-3,True,False
"{1,2,3}",5,33233,0,0,False,-4,True,False
"{1,2,3}",5,33311,0,0,False,-3,True,False
"{1,2,3}",5,33312,0,0,False,-3,True,False
"{1,2,3}",5,33313,0,0,False,-3,True,False
"{1,2,3}",5,33321,0,0,False,-3,True,False
"{1,2,3}",5,33322,0,0,False,-3,True,False
"{1,2,3}",5,33323,0,0,False,-4,True,False
"{1,2,3}",5,33331,0,0,False,-4,True,False
"{1,2,3}",5,33332,0,0,False,-4,True,False
"{1,2,3}",5,33333,0,0,False,-5,True,False
"{1,2,3}",6,111111,6,6,False,0,False,True
"{1,2,3}",6,111112,5,5,False,0,False,True
"{1,2,3}",6,111113,5,5,False,0,False,True
"{1,2,3}",6,111121,5,5,False,0,False,True
"{1,2,3}",6,111122,4,4,False,0,False,True
"{1,2,3}",6,111123,4,4,False,0,False,True
"{1,2,3}",6,111131,4,4,False,0,False,True
"{1,2,3}",6,111132,4,4,False,0,False,True
"{1,2,3}",6,111133,4,4,False,0,False,True
"{1,2,3}",6,111211,5,5,False,0,False,True
"{1,2,3}",6,111212,4,4,False,0,False,True
"{1,2,3}",6,111213,4,4,False,0,False,True
"{1,2,3}",6,111221,4,4,False,0,False,True
"{1,2,3}",6,111222,3,3,False,0,False,True
"{1,2,3}",6,111223,3,3,False,0,False,True
"{1,2,3}",6,111231,3,3,False,0,False,True
"{1,2,3}",6,111232,3,3,False,0,False,True
