alphabet,m,word,D_ceil,L,min_g_loop
"{1,2,3}",6,321333,3,0,-3
"{1,2,3}",6,322111,3,2,-1
"{1,2,3}",6,322112,2,1,-1
"{1,2,3}",6,322113,2,1,-1
"{1,2,3}",6,322121,2,1,-1
"{1,2,3}",6,322122,2,0,-1
"{1,2,3}",6,322123,2,0,-1
"{1,2,3}",6,322131,2,0,-1
"{1,2,3}",6,322132,2,0,-1
"{1,2,3}",6,322133,2,0,-2
"{1,2,3}",6,322211,2,1,-1
"{1,2,3}",6,322212,2,0,-1
"{1,2,3}",6,322213,2,0,-1
"{1,2,3}",6,322221,2,0,-1
"{1,2,3}",6,322222,2,0,-1
"{1,2,3}",6,322223,2,0,-2
"{1,2,3}",6,322231,2,0,-2
"{1,2,3}",6,322232,2,0,-2
"{1,2,3}",6,322233,2,0,-3
"{1,2,3}",6,322311,2,0,-2
"{1,2,3}",6,322312,2,0,-2
"{1,2,3}",6,322313,2,0,-2
"{1,2,3}",6,322321,2,0,-2
"{1,2,3}",6,322322,2,0,-2
"{1,2,3}",6,322323,2,0,-3
"{1,2,3}",6,322331,2,0,-3
"{1,2,3}",6,322332,2,0,-3
"{1,2,3}",6,322333,2,0,-4
"{1,2,3}",6,323111,2,1,-2
"{1,2,3}",6,323112,2,0,-2
"{1,2,3}",6,323113,2,0,-2
"{1,2,3}",6,323121,2,0,-2
"{1,2,3}",6,323122,2,0,-2
"{1,2,3}",6,323123,2,0,-2
"{1,2,3}",6,323131,2,0,-2
"{1,2,3}",6,323132,2,0,-2
"{1,2,3}",6,323133,2,0,-3
"{1,2,3}",6,323211,2,0,-2
"{1,2,3}",6,323212,2,0,-2
"{1,2,3}",6,323213,2,0,-2
"{1,2,3}",6,323221,2,0,-2
"{1,2,3}",6,323222,2,0,-2
"{1,2,3}",6,323223,2,0,-3
"{1,2,3}",6,323231,2,0,-3
"{1,2,3}",6,323232,2,0,-3
"{1,2,3}",6,323233,2,0,-4
"{1,2,3}",6,323311,4,0,-3
"{1,2,3}",6,323312,4,0,-3
"{1,2,3}",6,323313,4,0,-3
"{1,2,3}",6,323321,4,0,-3
"{1,2,3}",6,323322,3,0,-3
"{1,2,3}",6,323323,3,0,-4
"{1,2,3}",6,323331,3,0,-4
"{1,2,3}",6,323332,3,0,-4
"{1,2,3}",6,323333,3,0,-5
"{1,2,3}",6,331111,3,2,-2
"{1,2,3}",6,331112,2,1,-2
"{1,2,3}",6,331113,2,1,-2
"{1,2,3}",6,331121,2,1,-2
"{1,2,3}",6,331122,2,0,-2
"{1,2,3}",6,331123,2,0,-2
"{1,2,3}",6,331131,2,0,-2
"{1,2,3}",6,331132,2,0,-2
"{1,2,3}",6,331133,2,0,-2
"{1,2,3}",6,331211,2,1,-2
"{1,2,3}",6,331212,2,0,-2
"{1,2,3}",6,331213,2,0,-2
"{1,2,3}",6,331221,2,0,-2
"{1,2,3}",6,331222,2,0,-2
"{1,2,3}",6,331223,2,0,-2
"{1,2,3}",6,331231,2,0,-2
"{1,2,3}",6,331232,2,0,-2
"{1,2,3}",6,331233,2,0,-3
"{1,2,3}",6,331311,2,0,-2
"{1,2,3}",6,331312,2,0,-2
"{1,2,3}",6,331313,2,0,-2
"{1,2,3}",6,331321,2,0,-2
"{1,2,3}",6,331322,2,0,-2
"{1,2,3}",6,331323,2,0,-3
"{1,2,3}",6,331331,2,0,-3
"{1,2,3}",6,331332,2,0,-3
